author_id,author_name,total_edits
AUTH00001,JSau,13
AUTH00002,Johnabrams,7
AUTH00003,David Christenson,5
AUTH00004,Amherzog22,4
AUTH00005,Citation bot,104
AUTH00006,JamesDouglasOrton,3
AUTH00007,Hroscholar,3
AUTH00008,202.148.160.26,2
AUTH00009,63.171.234.11,2
AUTH00010,Marcocapelle,3
AUTH00011,203.101.64.67,8
AUTH00012,Rosiestep,4
AUTH00013,71.56.172.15,3
AUTH00014,RayneVanDunem,3
AUTH00015,Cmcnicoll,3
AUTH00016,209.6.140.179,2
AUTH00017,SpottedLeopard,2
AUTH00018,Medsync,2
AUTH00019,FrescoBot,2
AUTH00020,Pnm,4
AUTH00021,Pm master,4
AUTH00022,JoeNMLC,4
AUTH00023,Katharineamy,2
AUTH00024,Saad.qur,2
AUTH00025,Addbot,13
AUTH00026,SteenthIWbot,1
AUTH00027,Cielquiparle,1
AUTH00028,Thatoneweirdwikier,1
AUTH00029,66.248.168.33,1
AUTH00030,Jpbowen,3
AUTH00031,Helgin,2
AUTH00032,Niceguyedc,1
AUTH00033,Ceyockey,1
AUTH00034,AlephGamma,1
AUTH00035,Another day in the trench,1
AUTH00036,93.103.241.247,1
AUTH00037,VulcanSphere,1
AUTH00038,Elonka,1
AUTH00039,HueMan1,151
AUTH00040,P199,54
AUTH00041,Seav,55
AUTH00042,Namayan,49
AUTH00043,Sanglahi86,44
AUTH00044,Tobias Conradi,38
AUTH00045,Gerald Farinas,34
AUTH00046,Dakilang Isagani,34
AUTH00047,Howard the Duck,31
AUTH00048,125.60.243.27,23
AUTH00049,Andisnow28,69
AUTH00050,Hateless,27
AUTH00051,MichaelSegura,14
AUTH00052,2600:1700:7E31:5710:E1E8:AD4E:3EAA:5904,12
AUTH00053,Sevastapol,11
AUTH00054,Datu Hulyo,7
AUTH00055,Philip5malin,6
AUTH00056,Yuje,6
AUTH00057,Michael Essmeyer,6
AUTH00058,Conovaloff,5
AUTH00059,Piotrus,49
AUTH00060,Williamalaroque,5
AUTH00061,112.198.215.185,5
AUTH00062,"AYOOLA,B.F",3
AUTH00063,SmackBot,36
AUTH00064,193.128.12.194,3
AUTH00065,Dricherby,2
AUTH00066,Funandtrvl,5
AUTH00067,RevelationDirect,2
AUTH00068,150.250.193.59,2
AUTH00069,ELindas,40
AUTH00070,Altenmann,30
AUTH00071,2600:8800:311B:4100:299F:9A86:D155:7D0D,3
AUTH00072,Abductive,3
AUTH00073,Monkbot,18
AUTH00074,AnomieBOT,39
AUTH00075,OAbot,9
AUTH00076,Renata3,1
AUTH00077,SchlurcherBot,1
AUTH00078,CliffC,7
AUTH00079,210.6.121.226,7
AUTH00080,Seniorcitizeninindia,6
AUTH00081,ClueBot NG,705
AUTH00082,2409:40F0:1047:98F3:8000:0:0:0,5
AUTH00083,Achmad Rachmani,4
AUTH00084,Melbourne3163,4
AUTH00085,194.168.91.116,4
AUTH00086,Starb23,4
AUTH00087,Editorwii3,3
AUTH00088,Rlsheehan,14
AUTH00089,Johnuniq,4
AUTH00090,202.153.43.158,4
AUTH00091,61.8.217.195,3
AUTH00092,Deli nk,3
AUTH00093,Keithklain,2
AUTH00094,Fabrictramp,2
AUTH00095,Sargdub,2
AUTH00096,Chris the speller,3
AUTH00097,JASpencer,17
AUTH00098,Lyndaship,1
AUTH00099,Jay8g,1
AUTH00100,2A02:8012:227B:0:B45E:C2C2:14E9:9531,1
AUTH00101,Rodw,1
AUTH00102,Edcolins,86
AUTH00103,124.125.251.84,5
AUTH00104,64.81.136.123,4
AUTH00105,Azamghani,4
AUTH00106,95.140.3.214,4
AUTH00107,71.216.155.202,3
AUTH00108,Patentsearcher,2
AUTH00109,Newone,2
AUTH00110,Mike Brunner,2
AUTH00111,203.208.77.141,3
AUTH00112,K1v1n,2
AUTH00113,Mccapra,2
AUTH00114,Cydebot,6
AUTH00115,Anas1712,4
AUTH00116,RussBot,2
AUTH00117,HollyAm,1
AUTH00118,BunnysBot,1
AUTH00119,203.25.1.208,1
AUTH00120,Vanished user azby388723i8jfjh32,49
AUTH00121,Dpbsmith,36
AUTH00122,75.99.219.138,28
AUTH00123,GrapedApe,24
AUTH00124,Nunh-huh,21
AUTH00125,129.170.247.94,18
AUTH00126,Doops,17
AUTH00127,Esrever,21
AUTH00128,MementoVivere,14
AUTH00129,Sammy Houston,13
AUTH00130,John M Kamensky,12
AUTH00131,Srich32977,47
AUTH00132,Cyberbot II,2
AUTH00133,X-RogueLeBeau-X,1
AUTH00134,Jordanp,1
AUTH00135,2600:1700:C9B0:DC0:B5EF:951B:D61C:E6F9,1
AUTH00136,Giraffedata,1
AUTH00137,142.160.89.97,1
AUTH00138,1ctinus,1
AUTH00139,DavidWBrooks,133
AUTH00140,Barnabypage,61
AUTH00141,BeenAroundAWhile,36
AUTH00142,Rjensen,54
AUTH00143,Maurreen,26
AUTH00144,Ohnoitsjamie,119
AUTH00145,NeilN,24
AUTH00146,ClueBot,189
AUTH00147,Bruce1ee,22
AUTH00148,Keizers,41
AUTH00149,DJV11181988,16
AUTH00150,Tinton5,9
AUTH00151,Coolcaesar,6
AUTH00152,WikiCleanerBot,4
AUTH00153,Eglains54,4
AUTH00154,R'n'B,5
AUTH00155,2600:6C5A:557F:D058:685C:5D12:3766:5E08,3
AUTH00156,Dustfreeworld,3
AUTH00157,BirgerH,8
AUTH00158,Supuhstar,1
AUTH00159,117.200.151.173,1
AUTH00160,Barkeep49,1
AUTH00161,DGtal,1
AUTH00162,Bobrayner,1
AUTH00163,Jessietail,1
AUTH00164,Paul1337,1
AUTH00165,Prof. Squirrel,1
AUTH00166,Anthony Appleyard,57
AUTH00167,Bidhan Singh,47
AUTH00168,Coin945,39
AUTH00169,SummerWithMorons,24
AUTH00170,Jrtayloriv,96
AUTH00171,Beland,20
AUTH00172,67.52.9.242,16
AUTH00173,LarsenMAS214,16
AUTH00174,Superb Owl,39
AUTH00175,BilCat,31
AUTH00176,GB fan,19
AUTH00177,Marxistfounder,14
AUTH00178,Epbr123,11
AUTH00179,75.15.26.17,9
AUTH00180,184.155.8.126,9
AUTH00181,170.161.67.42,9
AUTH00182,Est. 2021,7
AUTH00183,Sharoshwat Roy,2
AUTH00184,S1mply.Dogmom,2
AUTH00185,BellBundy,1
AUTH00186,Kuma0032,1
AUTH00187,PEPSI697,1
AUTH00188,Parksfan1955,1
AUTH00189,76.33.126.7,1
AUTH00190,Ramdom-kid-editor,1
AUTH00191,Jmccormac,59
AUTH00192,Mindmatrix,27
AUTH00193,Kbrose,15
AUTH00194,Bonadea,12
AUTH00195,SpiralShell,10
AUTH00196,Pgan002,10
AUTH00197,Revathirajagopalan,10
AUTH00198,Versageek,17
AUTH00199,Egel,183
AUTH00200,Jergen,46
AUTH00201,Gadget850,45
AUTH00202,Horus Kol,39
AUTH00203,Kaboom88,34
AUTH00204,Darranc,14
AUTH00205,PNG crusade bot,10
AUTH00206,Anda eu,9
AUTH00207,Tyrekecorrea,8
AUTH00208,InternetArchiveBot,31
AUTH00209,Abrio,2
AUTH00210,Aymatth2,2
AUTH00211,AHI-3000,2
AUTH00212,Hcberkowitz,1
AUTH00213,Mitko Tasev,1
AUTH00214,InfiniteNexus,1
AUTH00215,YLJl-Olli,1
AUTH00216,Graywalls,41
AUTH00217,Steven Walling,27
AUTH00218,SJ Morg,22
AUTH00219,Peteforsyth,20
AUTH00220,AladdinSustain,18
AUTH00221,Jaredscribe,17
AUTH00222,Kingofthedead,12
AUTH00223,PortlandSaint,12
AUTH00224,Valfontis,7
AUTH00225,Jamedeus,7
AUTH00226,DragonflySixtyseven,28
AUTH00227,OnBeyondZebrax,15
AUTH00228,Leibniz,12
AUTH00229,ForteSP33,12
AUTH00230,Ecotta27,11
AUTH00231,69.160.9.83,10
AUTH00232,Flowanda,8
AUTH00233,87.194.16.60,7
AUTH00234,Durantula123,7
AUTH00235,GuccizBud,7
AUTH00236,Morwen,11
AUTH00237,AusLondonder,8
AUTH00238,MRSC,6
AUTH00239,Dgp4004,5
AUTH00240,Psd,3
AUTH00241,Saltine,3
AUTH00242,Mauls,3
AUTH00243,BlueStar303,3
AUTH00244,Lukebinns,3
AUTH00245,Daask,2
AUTH00246,Headhitter,200
AUTH00247,Beccaynr,90
AUTH00248,Aeikenberry,9
AUTH00249,Oxoniensis caeruleus,5
AUTH00250,209.219.39.146,5
AUTH00251,72.1.189.175,5
AUTH00252,Ost316,8
AUTH00253,Cjoymb,4
AUTH00254,Hordaland,71
AUTH00255,EdinNJ,15
AUTH00256,79.178.132.158,9
AUTH00257,Askeladden2006,7
AUTH00258,Leevanjackson,6
AUTH00259,Bondegezou,5
AUTH00260,96.242.136.69,5
AUTH00261,Deepdive1975,4
AUTH00262,Ira Leviton,2
AUTH00263,PigeonChickenFish,1
AUTH00264,Dzairium,1
AUTH00265,CAPTAIN RAJU,1
AUTH00266,Brady263,5
AUTH00267,Apetrov09703,5
AUTH00268,Rogermx,2
AUTH00269,Ludwig20,2
AUTH00270,John of Reading,3
AUTH00271,2A02:678:64B:C400:F83A:3A4D:1CFD:7DE3,1
AUTH00272,89.1.31.105,1
AUTH00273,111.220.122.160,1
AUTH00274,Dan Koehl,1
AUTH00275,BattyBot,1
AUTH00276,Northamerica1000,14
AUTH00277,Wassupwestcoast,8
AUTH00278,Mrmoocow,3
AUTH00279,118.209.234.101,3
AUTH00280,GenQuest,3
AUTH00281,Rjholmer,2
AUTH00282,Image Hunter,2
AUTH00283,KP Botany,2
AUTH00284,195.188.173.224,2
AUTH00285,Sivaji Chakraborty,5
AUTH00286,Darrelljon,3
AUTH00287,Batard0,2
AUTH00288,PanchoS,6
AUTH00289,G-VarietyEditor,1
AUTH00290,58.6.231.26,1
AUTH00291,Hugo999,1
AUTH00292,Malcolmxl5,1
AUTH00293,2A02:C7C:2DCE:1F00:7141:961B:60B2:D440,1
AUTH00294,Giacomo-Giugiaro,1
AUTH00295,AssumeGoodWraith,2
AUTH00296,Doug Coldwell,2
AUTH00297,DPL bot,2
AUTH00298,Sda030,2
AUTH00299,Pppery,1
AUTH00300,Doczilla,1
AUTH00301,Darkildor,1
AUTH00302,2605:6000:3BCF:5C00:3C2A:9D06:905F:3ED2,1
AUTH00303,59.177.1.228,1
AUTH00304,SteveStrummer,6
AUTH00305,Bermicourt,6
AUTH00306,Mario1952,4
AUTH00307,Phlebas,4
AUTH00308,CommonsDelinker,3
AUTH00309,Smb1001,2
AUTH00310,Donarreiskoffer,2
AUTH00311,Wikipedro,2
AUTH00312,75.178.185.244,1
AUTH00313,Schwede66,13
AUTH00314,Thepunjabiboy,5
AUTH00315,RGloucester,4
AUTH00316,The Tom,4
AUTH00317,2604:3D09:37F:E110:C9C6:60CD:74D2:231C,3
AUTH00318,2604:3D09:37F:E110:A46C:760A:DECC:32DF,3
AUTH00319,UU,3
AUTH00320,UsmanKhan,2
AUTH00321,183.179.74.249,2
AUTH00322,Ms Sarah Welch,58
AUTH00323,Joshua Jonathan,38
AUTH00324,Garudindflamewing,21
AUTH00325,Gaura79,18
AUTH00326,Imc,13
AUTH00327,Aayush18,11
AUTH00328,Vidyasankar,11
AUTH00329,Priyanath,11
AUTH00330,Abhiran,10
AUTH00331,Freddiem,9
AUTH00332,Jackgill06,11
AUTH00333,78.148.30.118,9
AUTH00334,Raymond Cruise,8
AUTH00335,Deibid,7
AUTH00336,Mbssbs,6
AUTH00337,UnniMan,6
AUTH00338,Tssilva,5
AUTH00339,31.96.138.69,5
AUTH00340,Kwamikagami,5
AUTH00341,Dasubergeek,4
AUTH00342,Arctic.gnome,51
AUTH00343,Miesianiacal,23
AUTH00344,Boyd Reimer,13
AUTH00345,Enthusiast01,11
AUTH00346,Textorus,8
AUTH00347,76.66.194.58,7
AUTH00348,75.25.56.241,6
AUTH00349,99.233.65.37,5
AUTH00350,Yue,6
AUTH00351,Eeescalan,6
AUTH00352,Descendall,4
AUTH00353,86.160.182.144,3
AUTH00354,Ian Pitchford,3
AUTH00355,Idioma-bot,2
AUTH00356,2604:6000:1507:1EE:457B:C7BA:FEEF:8DCC,2
AUTH00357,Cloudaoc,2
AUTH00358,MatthewVanitas,2
AUTH00359,Caitlin122,2
AUTH00360,Theoneandonlylinguist09,6
AUTH00361,Mattbray,5
AUTH00362,Hermes Express,4
AUTH00363,Schwyz,4
AUTH00364,JJMC89 bot III,6
AUTH00365,TrueColour,3
AUTH00366,Chanheigeorge,3
AUTH00367,Toweli,3
AUTH00368,Mtuitoga,2
AUTH00369,Kashmiri,2
AUTH00370,Dispatx,5
AUTH00371,202.152.194.192,3
AUTH00372,Bagoto,3
AUTH00373,Innovativeartist,2
AUTH00374,212.198.163.179,2
AUTH00375,Krauss,2
AUTH00376,46.7.32.8,1
AUTH00377,Cornmazes,1
AUTH00378,83.252.35.145,1
AUTH00379,Noloader,37
AUTH00380,112.199.97.178,20
AUTH00381,DMacks,31
AUTH00382,Download,17
AUTH00383,165.123.213.10,16
AUTH00384,78.32.205.26,15
AUTH00385,162.234.128.246,14
AUTH00386,Kuru,225
AUTH00387,195.141.185.168,9
AUTH00388,Curb Safe Charmer,9
AUTH00389,Dave.paige,317
AUTH00390,24.202.112.94,27
AUTH00391,24.48.94.47,16
AUTH00392,Samwaltz,14
AUTH00393,Earflaps,9
AUTH00394,184.162.210.130,9
AUTH00395,50.21.139.107,8
AUTH00396,74.58.44.46,8
AUTH00397,Argolin,8
AUTH00398,142.100.231.11,7
AUTH00399,Bird,18
AUTH00400,Nikosgreencookie,17
AUTH00401,Gregorylaird,15
AUTH00402,CLTNetwork,13
AUTH00403,2601:188:180:B8E0:65F5:930C:B0B2:CD63,9
AUTH00404,70.179.57.88,7
AUTH00405,Peaceray,7
AUTH00406,AtticusX,9
AUTH00407,65.241.19.3,5
AUTH00408,"Me, Myself, and I are Here",5
AUTH00409,Replayful,2
AUTH00410,182.48.228.19,2
AUTH00411,TheAMmollusc,2
AUTH00412,Mabnet,1
AUTH00413,Nirmos,1
AUTH00414,Erik9bot,2
AUTH00415,JoergenB,1
AUTH00416,Robth,1
AUTH00417,IceWelder,8
AUTH00418,2001:B011:9825:16E0:B824:C2D6:9ABA:6F38,6
AUTH00419,76.216.128.202,4
AUTH00420,69.86.6.150,3
AUTH00421,BG19bot,4
AUTH00422,Andystwong,3
