child_topic_id,parent_topic_id
Q5757680,Q43229
Q6017526,Q43229
Q5508841,Q43229
Q5190931,Q43229
Q24746,Q34876
Q24746,Q43229
Q1083702,Q43229
Q3152824,Q43229
Q1194178,Q43229
Q22908,Q43229
Q6017561,Q43229
Q2985307,Q43229
Q6043746,Q43229
Q5421939,Q43229
Q1188663,Q43229
Q5582617,Q43229
Q11032,Q28877
Q11032,Q43229
Q11315,Q18760388
Q6031029,Q41176
Q6031029,Q43229
Q11315,Q39659371
Q11033,Q121182
Q11033,Q340169
Q1141323,Q1775946
Q5380419,Q60849960
Q1073015,Q43229
Q1870403,Q43229
Q5398995,Q43229
Q5589293,Q43229
Q5399385,Q43229
Q5266682,Q43229
Q5565881,Q43229
Q3117735,Q43229
Q3091534,Q43229
Q1128886,Q43229
Q3068961,Q43229
Q6138323,Q43229
Q5341295,Q43229
Q1818761,Q19753982
Q1193702,Q192852
Q1193702,Q848197
Q2069741,Q43229
Q2069741,Q44613
Q1054782,Q43229
Q1812889,Q43229
Q3119880,Q43229
Q3064474,Q34876
Q3064474,Q43229
Q5194618,Q43229
Q1187145,Q43229
Q3070109,Q43229
Q6484284,Q43229
Q6017526,Q1416012
Q6486642,Q43229
Q6017526,Q70450023
Q1956113,Q43229
Q24746,Q1350310
Q24746,Q10864048
Q3152824,Q178706
Q22908,Q699405
Q3056790,Q43229
Q6015263,Q43229
Q11032,Q1002697
Q11032,Q17172633
Q11315,Q43229
Q1188663,Q80096233
Q5380419,Q43229
Q1141323,Q43229
Q11033,Q43229
Q11032,Q117208269
Q11032,Q119648442
Q1934969,Q43229
Q1132944,Q43229
Q1071015,Q43229
Q5955071,Q43229
Q5399385,Q428632
Q5176204,Q43229
Q5916251,Q43229
Q5466627,Q43229
Q3117735,Q7251376
Q3068961,Q131596
Q5419285,Q43229
Q6138323,Q656720
Q6138323,Q800279
Q6138323,Q1311670
Q6138323,Q6501349
Q1818761,Q43229
Q1193702,Q43229
Q2069741,Q1370598
Q2069741,Q1664720
Q1054782,Q1412403
Q1812889,Q186081
Q1812889,Q7456126
Q3064474,Q1062445
Q2090372,Q43229
Q5194618,Q874405
Q3064474,Q13220204
Q2069741,Q98116669
Q1187145,Q1418159
Q353344,Q43229
Q353344,Q56061
Q20653619,Q43229
Q20653619,Q49773
Q83405,Q43229
Q4785006,Q43229
Q34627,Q811979
Q34627,Q831219
Q3508373,Q43229
Q4672756,Q43229
Q3269648,Q43229
Q4764972,Q43229
Q4801240,Q3325736
Q3184737,Q43229
Q3577960,Q43229
Q165853,Q699405
Q79751,Q20076236
Q3540209,Q43229
Q3349568,Q43229
Q4504013,Q79913
Q4504013,Q2385804
Q4504013,Q4479446
Q938711,Q16334295
Q992237,Q41176
Q992237,Q43229
Q2296694,Q43229
Q1032372,Q2015628
Q1032372,Q3540209
Q1032372,Q13226383
Q4830453,Q155076
Q4830453,Q12569864
Q1199840,Q43229
Q3509383,Q43229
Q1200676,Q4830453
Q3607960,Q43229
Q1251750,Q83405
Q1251750,Q811979
Q1251750,Q13226383
Q895526,Q106559804
Q7188,Q43229
Q1328304,Q43229
Q2279768,Q43229
Q3356081,Q43229
Q2458164,Q43229
Q4502119,Q43229
Q989470,Q177634
Q4539,Q295382
Q4539,Q783794
Q1229659,Q43229
Q996839,Q177634
Q1228967,Q43229
Q6498663,Q43229
Q24764,Q3957
Q24764,Q15284
Q24764,Q43229
Q1241025,Q16334295
Q2281788,Q570116
Q2281788,Q15982170
Q2281788,Q16519632
Q1311569,Q43229
Q2281788,Q57659763
Q1241025,Q115172998
Q83405,Q811979
Q83405,Q1662011
Q83405,Q13226383
Q34627,Q43229
Q3508373,Q161837
Q83405,Q134496677
Q3269648,Q163740
Q3508373,Q92936088
Q4651900,Q43229
Q3508373,Q120669775
Q4801240,Q4539
Q4801240,Q43229
Q3487815,Q43229
Q79751,Q43229
Q3184737,Q216285
Q3184737,Q1530022
Q165853,Q43229
Q153936,Q207320
Q153936,Q1144991
Q153936,Q1673189
Q153936,Q7933191
Q153936,Q17149090
Q138796,Q2738074
Q7654539,Q43229
Q1514395,Q43229
Q131186,Q29881373
Q1550557,Q43229
Q1390062,Q43229
Q1364298,Q43229
Q1394627,Q3449457
Q4330364,Q2169973
Q7885249,Q10541491
Q4358176,Q43229
Q1377994,Q43229
Q7865442,Q1391688
Q3751900,Q43229
Q1454317,Q43229
Q104157,Q1350310
Q10341430,Q43229
Q112046,Q1341478
Q112046,Q2169973
Q112046,Q4830453
Q5055151,Q43229
Q1808846,Q43229
Q188913,Q131596
Q188913,Q3062125
Q11005122,Q43229
Q7975161,Q43229
Q11391922,Q3914
Q11391922,Q43229
Q10656810,Q43229
Q1788992,Q4430243
Q1788992,Q16334295
Q5119518,Q43229
Q181916,Q43229
Q10983451,Q43229
Q1787017,Q8513
Q1787017,Q43229
Q7699489,Q43229
Q7654539,Q879146
Q11396960,Q783794
Q11396960,Q1331793
Q1729207,Q43229
Q10686791,Q43229
Q10883540,Q43229
Q7727036,Q43229
Q4931514,Q43229
Q190864,Q43229
Q5165673,Q4830453
Q4986492,Q43229
Q7864947,Q43229
Q178706,Q211606
Q4840249,Q7406919
Q179076,Q43371537
Q178706,Q106559804
Q5038204,Q43229
Q1752346,Q43229
Q11771944,Q1914636
Q1597339,Q177634
Q1597339,Q2385804
Q7885249,Q43229
Q7865442,Q43229
Q190928,Q43229
Q1558054,Q874405
Q1558054,Q3172900
Q1558054,Q4502119
Q1558054,Q19691007
Q9078534,Q43229
Q1558054,Q117531692
Q183288,Q43229
Q1808846,Q1432594
Q188913,Q43229
Q10341430,Q79913
Q11391922,Q16710795
Q10656810,Q16146522
Q1788992,Q43229
Q5119518,Q811979
Q5119518,Q4830453
Q5119518,Q15904214
Q11288646,Q43229
Q463080,Q43229
Q196776,Q13460321
Q13473501,Q16334295
Q369729,Q43229
Q16985923,Q7604698
Q17092674,Q43229
Q17103146,Q43229
Q16949833,Q43229
Q16320635,Q43229
Q16981758,Q15911314
Q195339,Q43229
Q14946195,Q43229
Q13757566,Q43229
Q336473,Q43229
Q485016,Q43229
Q221096,Q43229
Q324090,Q176799
Q11812394,Q43229
Q438711,Q750458
Q484652,Q43229
Q276548,Q43229
Q501519,Q43229
Q431603,Q43229
Q210167,Q112042224
Q327245,Q1744559
Q327245,Q16334295
Q280783,Q874405
Q16965797,Q43229
Q197952,Q783794
Q280783,Q89753576
Q16002704,Q43229
Q194166,Q43229
Q16861792,Q43229
Q450421,Q43229
Q379049,Q43229
Q208701,Q43229
Q208701,Q49773
Q16909857,Q43229
Q353344,Q1048835
Q82025391,Q43229
Q865588,Q43229
Q876852,Q123421329
Q27043907,Q43229
Q21772656,Q43229
Q56317876,Q43229
Q64606659,Q43229
Q64606659,Q48204
Q123142650,Q43229
Q112482884,Q5341295
Q25184034,Q43229
Q876730,Q43229
Q865132,Q47311934
Q107504067,Q43229
Q56035565,Q43229
Q65083615,Q43229
Q48735001,Q43229
Q24906286,Q43229
Q22909212,Q43229
Q56314241,Q43229
Q53444003,Q1324355
Q55634774,Q43229
Q39086937,Q43229
Q48818079,Q43229
Q837675,Q16334295
Q876852,Q43229
Q85790789,Q43229
Q865588,Q1752346
Q865588,Q16334295
Q97357826,Q43229
Q27043907,Q4830453
Q21772656,Q996839
Q21772656,Q2135977
Q21772656,Q7553219
Q64606659,Q431603
Q112482884,Q43229
Q24190306,Q43229
Q110654863,Q43229
Q116834119,Q43229
Q876730,Q3976655
Q876730,Q10864048
Q783794,Q3778211
Q694166,Q43229
Q673899,Q43229
Q814610,Q161837
Q829080,Q15911314
Q672070,Q746628
Q672070,Q1299240
Q672070,Q4830453
Q672070,Q19364326
Q829080,Q130370871
Q543813,Q43229
Q620225,Q1492823
Q620225,Q12778511
Q686441,Q1530022
Q620225,Q111737478
Q706486,Q27493
Q706486,Q43229
Q671224,Q811979
Q671224,Q1172494
Q671224,Q13226383
Q832115,Q43229
Q18204722,Q43229
Q18204617,Q43229
Q627272,Q43229
Q627272,Q48204
Q662043,Q43229
Q816676,Q43229
Q17143723,Q102496
Q17143723,Q13358519
Q17143723,Q20926517
Q569500,Q43229
Q17143723,Q23955632
Q681615,Q43229
Q17143723,Q51041800
Q783794,Q43229
Q702882,Q43229
Q814610,Q43229
Q673899,Q16334295
Q16985923,Q43229
Q17092674,Q865588
Q17092674,Q4949923
Q832722,Q43229
Q494978,Q43229
Q494978,Q56061
Q18450211,Q43229
Q18373809,Q16334295
Q829080,Q43229
Q829080,Q48204
Q20667323,Q15642541
Q20857129,Q43229
Q20857129,Q58778
Q18204722,Q1900326
Q18207063,Q43229
Q833941,Q43229
Q17143723,Q43229
Q895526,Q43229
Q7392579,Q43229
Q51647,Q43229
Q51647,Q49773
Q7188,Q895526
Q6486642,Q1639780
Q989470,Q43229
Q7574328,Q43229
Q4539,Q43229
Q77115,Q811979
Q6498663,Q327333
Q77115,Q13226383
Q77115,Q18674739
Q178706,Q43229
Q115807006,Q43229
Q1785733,Q43229
Q7315401,Q43229
Q7250240,Q43229
Q7248095,Q1900326
Q7531056,Q43229
Q7649559,Q43229
Q597897,Q43229
Q672070,Q43229
Q646293,Q43229
Q543813,Q2577883
Q543813,Q19953632
Q620225,Q43229
Q686441,Q43229
Q501519,Q13226383
Q671224,Q43229
Q501519,Q126921692
Q641347,Q43229
Q627272,Q431603
Q627272,Q123012019
Q662043,Q5380419
Q569500,Q688829
Q569500,Q1774898
Q569500,Q4260475
Q681615,Q10541491
Q650241,Q43229
Q569500,Q113367600
